slug,trade_name,hero_prompt,team_prompt,service_detail_prompt,testimonial_prompt,before_after_prompt
"appliance-repair","Appliance Repair","A confident appliance repair professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person appliance repair crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core appliance repair task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a appliance repair project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"solar","Solar Panel Installers","A confident solar panel installers professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person solar panel installers crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core solar panel installers task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a solar panel installers project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"painters","Painters","A confident painters professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person painters crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core painters task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a painters project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"carpet-cleaning","Carpet & Upholstery Cleaners","A confident carpet & upholstery cleaners professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person carpet & upholstery cleaners crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core carpet & upholstery cleaners task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a carpet & upholstery cleaners project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"pressure-washing","Pressure Washing & Window Cleaning","A confident pressure washing & window cleaning professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person pressure washing & window cleaning crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core pressure washing & window cleaning task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a pressure washing & window cleaning project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"janitorial","Janitorial & Commercial Cleaning","A confident janitorial & commercial cleaning professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person janitorial & commercial cleaning crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core janitorial & commercial cleaning task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a janitorial & commercial cleaning project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"restoration","Restoration (Water/Fire/Mold)","A confident restoration (water/fire/mold) professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person restoration (water/fire/mold) crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core restoration (water/fire/mold) task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a restoration (water/fire/mold) project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"junk-removal","Junk Removal","A confident junk removal professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person junk removal crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core junk removal task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a junk removal project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"handyman","Handyman Services","A confident handyman services professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person handyman services crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core handyman services task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a handyman services project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"landscaping","Landscaping & Lawn Care","A confident landscaping & lawn care professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person landscaping & lawn care crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core landscaping & lawn care task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a landscaping & lawn care project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"tree-service","Tree Removal & Arborists","A confident tree removal & arborists professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person tree removal & arborists crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core tree removal & arborists task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a tree removal & arborists project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"pest-control","Pest Control","A confident pest control professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person pest control crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core pest control task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a pest control project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"pools","Pool Construction & Maintenance","A confident pool construction & maintenance professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person pool construction & maintenance crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core pool construction & maintenance task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a pool construction & maintenance project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"fencing","Garage Door Repair & Installation","A confident garage door repair & installation professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person garage door repair & installation crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core garage door repair & installation task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a garage door repair & installation project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"auto-detailing","Mobile Auto Detailing","A confident mobile auto detailing professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person mobile auto detailing crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core mobile auto detailing task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a mobile auto detailing project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"auto-repair","Auto Repair & Body Shops","A confident auto repair & body shops professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person auto repair & body shops crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core auto repair & body shops task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a auto repair & body shops project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"towing","Towing & Roadside Assistance","A confident towing & roadside assistance professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person towing & roadside assistance crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core towing & roadside assistance task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a towing & roadside assistance project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
"excavation","Excavation & Demolition","A confident excavation & demolition professional at work on a job site, wide establishing shot, tools visible, work truck in soft-focus background, golden-hour lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A 2-3 person excavation & demolition crew standing together in front of their branded work van, friendly and approachable, uniforms/workwear, midday light, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Close-up detail shot of hands performing a core excavation & demolition task, focus on technique and tools, shallow DOF, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","A satisfied homeowner or business owner customer standing in front of their property, smiling, mid-conversation candid feel, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks","Split before-and-after comparison of a excavation & demolition project — same angle, same location, left half showing the problem/original condition, right half showing the completed work, consistent lighting, photorealistic, natural daylight, candid documentary style, shallow depth of field, shot on 35mm, no text or logos, no watermarks"
